epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.7053,1.68157,5.63511,1.2629,0.39739,0.17234,0.10562,0.07789,1.38322,3.16158,1.17691,0.000165309,0.000165309,0.000165309
2,119.518,1.66713,3.1802,1.2485,0.46401,0.12441,0.0608,0.04185,1.56935,3.59834,1.23546,0.000331743,0.000331743,0.000331743
3,173.063,1.86178,2.85082,1.28673,0.55667,0.13041,0.08985,0.05966,1.68122,2.87314,1.34785,0.000497515,0.000497515,0.000497515
4,227.093,1.86809,2.69496,1.29591,0.40005,0.14545,0.069,0.04334,1.74053,2.89501,1.36782,0.000662129,0.000662129,0.000662129
5,285.425,1.86088,2.67952,1.36149,0.56987,0.10684,0.07151,0.04872,1.69601,2.98422,1.33039,0.000825092,0.000825092,0.000825092
6,346.507,1.93662,2.7865,1.39459,0.44552,0.13008,0.06701,0.04342,1.80165,2.63455,1.4076,0.000822662,0.000822662,0.000822662
7,405.472,2.01734,2.73684,1.41197,0.48348,0.13496,0.06859,0.04634,1.77227,2.66972,1.36829,0.000818141,0.000818141,0.000818141
8,465.676,1.87477,2.61068,1.37673,0.68907,0.08448,0.06967,0.04822,1.73092,2.56331,1.34896,0.000812819,0.000812819,0.000812819
9,519.064,1.89483,2.57213,1.34591,0.45061,0.11113,0.065,0.04349,1.76529,2.58994,1.37405,0.000806707,0.000806707,0.000806707
10,576.509,1.9139,2.58558,1.36528,0.45245,0.13257,0.07594,0.05029,1.68402,2.43559,1.31419,0.000799818,0.000799818,0.000799818
11,636.4,1.82127,2.49083,1.35758,0.47453,0.17923,0.0888,0.06021,1.64854,2.38131,1.30848,0.000792166,0.000792166,0.000792166
12,695.611,1.84957,2.44245,1.33029,0.45607,0.13981,0.08722,0.05782,1.72132,2.40983,1.32934,0.000783765,0.000783765,0.000783765
13,753.003,1.79714,2.40102,1.30473,0.44328,0.14455,0.08177,0.05522,1.62602,2.35655,1.26978,0.000774633,0.000774633,0.000774633
14,809.644,1.86499,2.41831,1.31697,0.36475,0.14559,0.09167,0.06277,1.6026,2.31975,1.27465,0.000764789,0.000764789,0.000764789
15,864.346,1.7229,2.33846,1.28613,0.33148,0.18439,0.08814,0.06072,1.65929,2.29366,1.31007,0.000754251,0.000754251,0.000754251
16,919.319,1.75831,2.28995,1.2647,0.47225,0.13461,0.10613,0.07396,1.57825,2.2158,1.23579,0.000743041,0.000743041,0.000743041
17,977.842,1.62704,2.31718,1.28194,0.45884,0.15695,0.09219,0.06313,1.58797,2.33377,1.27333,0.000731183,0.000731183,0.000731183
18,1037.97,1.65106,2.28008,1.26974,0.44424,0.19287,0.13603,0.09845,1.56566,2.27567,1.2634,0.000718699,0.000718699,0.000718699
19,1095.69,1.72982,2.27644,1.26669,0.35988,0.16387,0.08979,0.06072,1.61833,2.31751,1.28049,0.000705614,0.000705614,0.000705614
20,1150.36,1.65961,2.23342,1.26049,0.33687,0.20709,0.11072,0.07747,1.51908,2.18545,1.24545,0.000691956,0.000691956,0.000691956
21,1207.09,1.64193,2.16628,1.24529,0.52308,0.19874,0.11716,0.08647,1.5581,2.24145,1.27333,0.000677752,0.000677752,0.000677752
22,1259.89,1.65503,2.19653,1.23817,0.47397,0.19676,0.12015,0.08595,1.51936,2.19048,1.24649,0.000663029,0.000663029,0.000663029
23,1319.3,1.57651,2.14145,1.25373,0.43123,0.23615,0.13552,0.09066,1.50235,2.12291,1.23946,0.000647819,0.000647819,0.000647819
24,1377.19,1.61884,2.07462,1.23561,0.4084,0.21113,0.14004,0.09918,1.49733,2.13347,1.23048,0.000632151,0.000632151,0.000632151
25,1434.5,1.57262,2.05621,1.21408,0.42116,0.20975,0.15813,0.11576,1.45126,2.00287,1.21619,0.000616058,0.000616058,0.000616058
26,1489.9,1.63283,2.05282,1.20983,0.28712,0.2393,0.16938,0.11961,1.48151,2.19023,1.26014,0.00059957,0.00059957,0.00059957
27,1545.8,1.50093,2.03164,1.21587,0.27025,0.21512,0.14531,0.10827,1.42481,2.12381,1.1974,0.000582723,0.000582723,0.000582723
28,1602.56,1.5748,2.00933,1.19204,0.52666,0.19571,0.15309,0.11521,1.39935,2.15239,1.18486,0.000565549,0.000565549,0.000565549
